sku,name,price,qty,year,capacity,power,horsepower,engcode
630410.0,FORD FOCUS 1 1.6 16V (70),0.00,1.00,1999,1596CC,74KW,100CP,WF0AXXGCDAXE14405
630411.0,VW NEW BEETLE 2.0 (71),0.00,1.00,2000,1984CC,85KW,115CP,WVWZZZ9CZ1M602196
630412.0,PEUGEOT 307SW 1.6HDI (72),0.00,1.00,2004,1560CC,80KW,109CP,VF33H9HZC83681793
630435.0,MOTOR,1417.50,1.00,NULL,NULL,NULL,NULL,NULL
630436.0,MOTOR,1665.00,1.00,NULL,NULL,NULL,NULL,NULL
630437.0,MOTOR,1665.00,1.00,NULL,NULL,NULL,NULL,NULL
630438.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630439.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630440.0,MOTOR,2160.00,1.00,NULL,NULL,NULL,NULL,NULL
630441.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630442.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630443.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630444.0,MOTOR,2160.00,1.00,NULL,NULL,NULL,NULL,NULL
630446.0,MOTOR,1980.00,1.00,NULL,NULL,NULL,NULL,NULL
630447.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630448.0,MOTOR,2250.00,1.00,NULL,NULL,NULL,NULL,NULL
630449.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630450.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630451.0,MOTOR,1890.00,1.00,NULL,NULL,NULL,NULL,NULL
630452.0,MOTOR,1890.00,1.00,NULL,NULL,NULL,NULL,NULL
630453.0,MOTOR,1395.00,1.00,NULL,NULL,NULL,NULL,NULL
630454.0,MOTOR,1440.00,1.00,NULL,NULL,NULL,NULL,NULL
630656.0,FORD FOCUS C-MAX 1.6 TDCi (75),0.00,1.00,2003,1560CC,80KW,109CP,WF0MXXGCDM3U04547
630456.0,MOTOR,1620.00,1.00,NULL,NULL,NULL,NULL,NULL
630457.0,MOTOR,1620.00,1.00,NULL,NULL,NULL,NULL,NULL
630458.0,MOTOR,1620.00,1.00,NULL,NULL,NULL,NULL,NULL
630459.0,MOTOR,1620.00,1.00,NULL,NULL,NULL,NULL,NULL
630460.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630461.0,MOTOR,1800.00,1.00,NULL,NULL,NULL,NULL,NULL
630462.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630463.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630464.0,MOTOR,1530.00,1.00,NULL,NULL,NULL,NULL,NULL
630465.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630466.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630467.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630468.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630469.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630470.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630471.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630472.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630473.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630474.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630475.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630476.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630477.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630478.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630479.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630480.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630481.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630482.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630483.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630484.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630485.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630486.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630487.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630488.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630489.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630490.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630491.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630492.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630493.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630494.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630495.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630496.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630497.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630498.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630499.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630500.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630501.0,OGLINDA RETROVIZOARE,50.00,1.00,NULL,NULL,NULL,NULL,NULL
630574.0,CITROEN C5,0.00,1.00,NULL,NULL,NULL,NULL,NULL
630503.0,BARA FATA,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630504.0,BARA FATA,400.00,1.00,NULL,NULL,NULL,NULL,NULL
630575.0,FORD KA,0.00,1.00,NULL,NULL,NULL,NULL,NULL
630578.0,BARA FATA,300.00,1.00,NULL,NULL,NULL,NULL,NULL
630576.0,FORD FOCUS 3,0.00,1.00,NULL,NULL,NULL,NULL,NULL
630508.0,BARA FATA,300.00,1.00,NULL,NULL,NULL,NULL,NULL
630509.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630577.0,OPEL ASTRA G,0.00,1.00,NULL,NULL,NULL,NULL,NULL
630579.0,BARA FATA,250.00,1.00,NULL,NULL,NULL,NULL,NULL
631997.0,MERCEDES A140 1.4 (82),0.00,NULL,1999,1397CC,60KW,82CP,WDB1680312J102415
631998.0,MERCEDES A160 2.0CDI (80),0.00,NULL,2005,1991CC,60KW,82CP,WDD1690062J079735
630580.0,BARA FATA,500.00,1.00,NULL,NULL,NULL,NULL,NULL
630663.0,BARA SPATE,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630581.0,BARA FATA,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630517.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630582.0,BARA SPATE,150.00,1.00,NULL,NULL,NULL,NULL,NULL
630583.0,BARA SPATE,200.00,1.00,NULL,NULL,NULL,NULL,NULL
630584.0,BARA SPATE,250.00,1.00,NULL,NULL,NULL,NULL,NULL
630521.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630522.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630664.0,BARA SPATE,300.00,1.00,NULL,NULL,NULL,NULL,NULL
630524.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630525.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
631400.0,CAPOTA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630654.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630657.0,FORD GALAXY 1.9 TDI (73),0.00,1.00,2002,1896CC,85KW,115CP,WF0GXXPSSG2M31707
630529.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630658.0,FORD MONDEO 3 2.0 TDCi (76),0.00,1.00,2004,1998CC,96KW,130CP,WF05XXGBB54T15317
630531.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630532.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
630533.0,BARA FATA,350.00,1.00,NULL,NULL,NULL,NULL,NULL
