ID,ID_UM_MINIMA,COD_INTERN,DENUMIRE,PRET_LISTA,PRET_VANZ_MAG,GRAMAJ_UNITATEA_MINIMA,ORDINE_AFISARE,XDISC_PROMO,XTVA,XADAOS,PRODUS_ACTIV,ACOPERIRE,COD_BARE,COMENT,EXPL,PRET_LISTA_EURO,PAGINA_CATALOG,LINK_DISK,FIELD_1,FIELD_2,STOC_COMANDAT_CLN,STOC_COMANDAT_FUR,STOC_CURENT,STOC_REZERVAT,STOC_ASIGURAT,PARENT_ID,SOURCE_ID
630366,4,cod nou471,OPEL VIVARO 1.9 (47),0,0,0,999999999,0,24,0,1,18,630366,NULL,"2004, 1870CC, 60KW, 80CP, WOLF7ABA54V624260",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630367,4,cod nou501,PEUGEOT 307SW 2.0HDI (50),0,0,0,999999999,0,24,0,1,18,630367,NULL,"2004, 1997CC, 66KW, 90CP, WF33ERHYB82791872",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630368,4,cod nou161,PEUGEOT 307SW 2.0HDI (16),0,0,0,999999999,0,24,0,1,18,630368,NULL,"2003, 1997CC, 66KW, 90CP, VF33HRHYB83072651",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630369,4,cod nou402.0,PEUGEOT 406SW 2.0HDI (40),0,0,0,999999999,0,24,0,1,18,630369,NULL,"2003, 1997CC, 79KW, 107CP, VF38ERHZF81578566",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630370,4,cod nou491,RENAULT KANGOO 1.5DCI (49),0,0,0,999999999,0,24,0,1,18,630370,NULL,"2006, 1461CC, 50KW, 68CP, VF1FC1EAF36496229",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630371,4,cod nou111,RENAULT KANGOO 1.9D (11),0,0,0,999999999,0,24,0,1,18,630371,NULL,"2001, 1870CC, 47KW, 64CP, VF1FC0JAF23241228",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630372,4,cod nou291,RENAULT KANGOO 1.9D (29),0,0,0,999999999,0,24,0,1,18,630372,NULL,"2001, 1870CC, 47KW, 64CP, VF1FCOJBF24595352",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630373,4,cod nou153.0,RENAULT TRAFIC II 1.9dCI (15),0,0,0,999999999,0,24,0,1,18,630373,NULL,"2005, 1870CC, 74KW, 101CP, VF1FLACA65V235713",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630374,4,cod nou612.0,ROVER 75 2.0CDTi (61),0,0,0,999999999,0,24,0,1,18,630374,NULL,"2003, 1951CC, 96KW, 131CP, SARRJZTHC4D314675",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630375,4,cod nou514.0,SEAT TOLEDO (51),0,0,0,999999999,0,24,0,1,18,630375,NULL,"1999, 1896CC, 81KW, 110CP, VSSZZZ1MZXB029917",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630376,4,cod nou371,SKODA FABIA 1.9SDI (37),0,0,0,999999999,0,24,0,1,18,630376,NULL,"2002, 1896CC, 47KW, 64CP, TMBNF46YX23552454",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630377,4,cod nou121,SKODA FABIA 1.4MPI (12),0,0,0,999999999,0,24,0,1,18,630377,NULL,"2001, 1397CC, 50KW, 68CP, TMBJB16Y113222385",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630378,4,cod nou232.0,SKODA OCTAVIA 1.9TDI (23),0,0,0,999999999,0,24,0,1,18,630378,NULL,"2005, 1896CC, 66KW, 90CP, TMBDG41U458794807",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630379,4,cod nou311,SMART FORTWO 0.7 (31),0,0,0,999999999,0,24,0,1,18,630379,NULL,"2004, 698CC, -KW, -CP, WME4504322J056180",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630380,4,cod nou461,SMART FORTWO 0.6 (46),0,0,0,999999999,0,24,0,1,18,630380,NULL,"2001, 599CC, 45KW, 61CP, WME01MC011H077703",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630381,4,cod nou441,SMART FORTWO 0.6 (44),0,0,0,999999999,0,24,0,1,18,630381,NULL,"2002, 599CC, -KW, -CP, WME01MC012H045535",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630382,4,cod nou451,SMART FORTWO 0.6 (45),0,0,0,999999999,0,24,0,1,18,630382,NULL,"1999, 599CC, -KW, -CP, TCC01MC01XH043215",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630383,4,cod nou321,SMART FORTWO 0.6 STG (32),0,0,0,999999999,0,24,0,1,18,630383,NULL,"1999, 599CC, 40KW, 55CP, TCC01MC01XH007555",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630384,4,cod nou343.0,SMART FORFOUR 1.1 ROSU (34),0,0,0,999999999,0,24,0,1,18,630384,NULL,"2006, 1124CC, 47KW, 64CP, WME4540332B108258",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630385,4,cod nou351,SMART FORFOUR 1.1 NEGRU (35),0,0,0,999999999,0,24,0,1,18,630385,NULL,"2004, 1124CC, 55KW, 75CP, WME4540302B041526",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630386,4,cod nou431,SMART FORFOUR 1.1 NEGRU (43),0,0,0,999999999,0,24,0,1,18,630386,NULL,"2004, 1124CC, 55KW, 75CP, WME4540302B053486",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630387,4,cod nou651,SMART FORFOUR 1.5 CDI NEGRU (65),0,0,0,999999999,0,24,0,1,18,630387,NULL,"2004, 1493CP, 70KW, 95CP, WME4540012B072895",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630388,4,cod nou382.0,VOLVO S60 2.0 (38),0,0,0,999999999,0,24,0,1,18,630388,NULL,"2003, 1984CC, 132KW, 180CP, YV1RS49K232267318",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630389,4,cod nou392.0,VW GOLF 4 1.4 (39),0,0,0,999999999,0,24,0,1,18,630389,NULL,"2000, 1390CC, 55KW, 75CP, WVWZZZ1JZYW641394",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630390,4,cod nou191,VW GOLF 4 1.6 16V (19),0,0,0,999999999,0,24,0,1,18,630390,NULL,"2001, 1595CC, 77KW, 105CP, WVWZZZ1JZ1P030952",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630391,4,cod nou131,VW GOLF 4 1.9TDI (13),0,0,0,999999999,0,24,0,1,18,630391,NULL,"2003, 1896CC, 74KW, 101CP, WVWZZZ1JZ3W147153",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630392,4,cod nou422.0,VW GOLF 4 1.9TDI (42),0,0,0,999999999,0,24,0,1,18,630392,NULL,"2002, 1896CC, 74KW, 101CP, WVWZZZ1JZ2U563047",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630393,4,cod nou281,VW GOLF 4 1.6 (28),0,0,0,999999999,0,24,0,1,18,630393,NULL,"2003, 1595CC, 55KW, 75CP, WVWZZZ1JZ3B137503",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630394,4,cod nou331,VW PASSAT 1.9TDI ARGINTIU (33),0,0,0,999999999,0,24,0,1,18,630394,NULL,"2001, 1896CC, 96KW, 130CP, WVWZZZ3BZ2P248439",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630395,4,cod nou272.0,VW PASSAT 1.9TDI SALOON PA ALBASTRU (27),0,0,0,999999999,0,24,0,1,18,630395,NULL,"2000. 1896CC, 85KW, 115CP, WVWZZZ3BZYP340701",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630426,4,200161,MOTOR,1413,1417.5,0,999999999,0,24,0,1,0,630426,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630326,94
630427,4,200162,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630427,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630327,94
630428,4,200163,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630428,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630334,94
630429,4,200164,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630429,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630335,94
630430,4,200165,MOTOR,1417.5,1417.5,0,999999999,0,24,0,1,0,630430,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630410,94
630431,4,200166,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630431,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630346,94
630432,4,200167,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630432,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630339,94
630433,4,200168,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630433,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630338,94
630434,4,200169,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630434,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630340,94
630408,4,cod nou681,ROVER 75 2.0CDT (68),0,0,0,999999999,0,24,0,1,18,630408,NULL,"2002, 1950CC, 85KW, 115CP, SARRJZLCH3D266730",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630409,4,cod nou691,SMART FORFOUR 1.3 GRI (69),0,0,0,999999999,0,24,0,1,18,630409,NULL,"2005, 1332CC, 70KW, 95CP, WME4540312B093459",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630410,4,cod nou701,FORD FOCUS 1 1.6 16V (70),0,0,0,999999999,0,24,0,1,18,630410,NULL,"1999, 1596CC, 74KW, 100CP, WF0AXXGCDAXE14405",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630411,4,cod nou711,VW NEW BEETLE 2.0 (71),0,0,0,999999999,0,24,0,1,18,630411,NULL,"2000, 1984CC, 85KW, 115CP, WVWZZZ9CZ1M602196",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630412,4,cod nou721,PEUGEOT 307SW 1.6HDI (72),0,0,0,999999999,0,24,0,1,18,630412,NULL,"2004, 1560CC, 80KW, 109CP, VF33H9HZC83681793",0,NULL,NULL,NULL,NULL,0,0,1,0,0,NULL,NULL
630435,4,200170,MOTOR,1417.5,1417.5,0,999999999,0,24,0,1,0,630435,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630342,94
630436,4,200171,MOTOR,1665,1665,0,999999999,0,24,0,1,0,630436,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630343,94
630437,4,200172,MOTOR,1665,1665,0,999999999,0,24,0,1,0,630437,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630344,94
630438,4,200173,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630438,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630347,94
630439,4,200174,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630439,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630348,94
630440,4,200175,MOTOR,2160,2160,0,999999999,0,24,0,1,0,630440,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630358,94
630441,4,200176,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630441,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630350,94
630442,4,200177,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630442,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630355,94
630443,4,200178,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630443,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630352,94
630444,4,200179,MOTOR,2160,2160,0,999999999,0,24,0,1,0,630444,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630353,94
630446,4,200181,MOTOR,1980,1980,0,999999999,0,24,0,1,0,630446,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630357,94
630447,4,200182,MOTOR,1800,1800,0,999999999,0,24,0,1,0,630447,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630367,94
630448,4,200183,MOTOR,2250,2250,0,999999999,0,24,0,1,0,630448,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630412,94
630449,4,200184,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630449,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630368,94
630450,4,200185,MOTOR,1530,1530,0,999999999,0,24,0,1,0,630450,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630369,94
630451,4,200186,MOTOR,1890,1890,0,999999999,0,24,0,1,0,630451,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,1,0,0,630408,94
